timestamp,user,fullname,text,hashtags,id,url,retweets,favorites,replies
2019-05-07 18:57:23,realDonaldTrump,Donald J. Trump,Congratulations @TigerWoods - you are truly one of a kind!pic.twitter.com/B6YpeLZilo,,1125837047766376448,/realDonaldTrump/status/1125837047766376448,20167,105869,11126
2019-05-07 14:49:02,realDonaldTrump,Donald J. Trump,"Democrats in Congress must vote to close the terrible loopholes at the Southern Border. If not, harsh measures will have to be taken!",,1125774545988857856,/realDonaldTrump/status/1125774545988857856,22743,96020,20697
2019-05-04 18:31:06,realDonaldTrump,Donald J. Trump,"How can it be possible that James Woods (and many others), a strong but responsible Conservative Voice, is banned from Twitter? Social Media & Fake News Media, together with their partner, the Democrat Party, have no idea the problems they are causing for themselves. VERY UNFAIR!",,1124743267873116160,/realDonaldTrump/status/1124743267873116160,46547,162632,32328
2019-05-04 17:53:42,realDonaldTrump,Donald J. Trump,"Today, May 4th - is International Firefighters Day! We remember all of those who put their lives on the line to save others, and are grateful to those who continue to do so 24/7/365. We love our great firefighters, thank you! #ThankAFirefighterpic.twitter.com/LBSfQRFZ7k",#ThankAFirefighterpic,1124733856526077953,/realDonaldTrump/status/1124733856526077953,16839,65016,6082
2019-05-04 13:49:27,realDonaldTrump,Donald J. Trump,"Very good call yesterday with President Putin of Russia. Tremendous potential for a good/great relationship with Russia, despite what you read and see in the Fake News Media. Look how they have misled you on “Russia Collusion.” The World can be a better and safer place. Nice!",,1124672389416144905,/realDonaldTrump/status/1124672389416144905,21187,90407,18481
2019-05-04 13:42:21,realDonaldTrump,Donald J. Trump,"Anything in this very interesting world is possible, but I believe that Kim Jong Un fully realizes the great economic potential of North Korea, & will do nothing to interfere or end it. He also knows that I am with him & does not want to break his promise to me. Deal will happen!",,1124670603179565056,/realDonaldTrump/status/1124670603179565056,20085,87931,21325
2019-05-04 12:34:07,realDonaldTrump,Donald J. Trump,"When will the Radical Left Wing Media apologize to me for knowingly getting the Russia Collusion Delusion story so wrong? The real story is about to happen! Why is @nytimes, @washingtonpost, @CNN, @MSNBC allowed to be on Twitter & Facebook. Much of what they do is FAKE NEWS!",,1124653429366906882,/realDonaldTrump/status/1124653429366906882,27655,95003,23375
2019-05-04 12:00:37,realDonaldTrump,Donald J. Trump,So great to watch this!https://twitter.com/faithandfootbal/status/1038482466678497286 …,,1124645001533771776,/realDonaldTrump/status/1124645001533771776,41331,131499,8650
2019-05-04 11:56:15,realDonaldTrump,Donald J. Trump,"There is nothing easy about a USA Infrastructure Plan, especially when our great Country has spent an astounding 7 trillion dollars in the Middle East over the last 19 years, but I am looking hard at a bipartisan plan of 1 to 2 trillion dollars. Badly needed!",,1124643901430796288,/realDonaldTrump/status/1124643901430796288,16101,71220,6316
2019-05-04 01:52:31,realDonaldTrump,Donald J. Trump,“They wanted to know what Trump was up to with the Russians - which of course is nonsense. This whole thing was a complete setup.” George Papadopoulos to @seanhannity,,1124491964794249216,/realDonaldTrump/status/1124491964794249216,19281,79985,11943
2019-05-01 13:03:41,realDonaldTrump,Donald J. Trump,"NO COLLUSION, NO OBSTRUCTION. Besides, how can you have Obstruction when not only was there No Collusion (by Trump), but the bad actions were done by the “other” side? The greatest con-job in the history of American Politics!",,1123573705697894400,/realDonaldTrump/status/1123573705697894400,30734,124141,39998
2019-05-01 12:28:53,realDonaldTrump,Donald J. Trump,"Why didn’t President Obama do something about Russia in September (before November Election) when told by the FBI? He did NOTHING, and had no intention of doing anything!",,1123564951203930112,/realDonaldTrump/status/1123564951203930112,36452,148134,37282
2019-05-01 12:06:10,realDonaldTrump,Donald J. Trump,"Congress must change the Immigration Laws now, Dems won’t act. Wall is being built - 400 miles by end of next year. Mexico must stop the march to Border! @foxandfriends",,1123559234128502784,/realDonaldTrump/status/1123559234128502784,18107,75678,9098
2019-05-01 11:11:42,realDonaldTrump,Donald J. Trump,"“No President in history has endured such vicious personal attacks by political opponents. Still, the President’s record is unparalleled.” @LouDobbs",,1123545524924223491,/realDonaldTrump/status/1123545524924223491,22746,98719,24987
2019-05-01 11:01:15,realDonaldTrump,Donald J. Trump,"Gallup Poll: 56% of Americans rate their financial situation as excellent or good. This is the highest number since 2002, and up 10 points since 2016.",,1123542897960390657,/realDonaldTrump/status/1123542897960390657,17300,75564,8814
